SymmetricIProfile,,,,,
CatalogueName,Depth,Width,WebThickness,FlangeThickness,RootRadius
UB 1016x305x487 #,1.0363,0.3085,0.03,0.0541,0.03
UB 1016x305x437 #,1.0261,0.3054,0.0269,0.049,0.03
UB 1016x305x393 #,1.0159,0.303,0.0244,0.0439,0.03
UB 1016x305x349 #,1.0081,0.302,0.0211,0.04,0.03
UB 1016x305x314 #,0.9999,0.3,0.0191,0.0359,0.03
UB 1016x305x272 #,0.9901,0.3,0.0165,0.031,0.03
UB 1016x305x249 #,0.9801,0.3,0.0165,0.026,0.03
UB 1016x305x222 #,0.9703,0.3,0.016,0.0211,0.03
UB 914x419x388,0.921,0.4205,0.0214,0.0366,0.0241
UB 914x419x343,0.9118,0.4185,0.0194,0.032,0.0241
UB 914x305x289,0.9266,0.3077,0.0195,0.032,0.0191
UB 914x305x253,0.9184,0.3055,0.0173,0.0279,0.0191
UB 914x305x224,0.9104,0.3041,0.0159,0.0239,0.0191
UB 914x305x201,0.903,0.3033,0.0151,0.0202,0.0191
UB 838x292x226,0.8509,0.2938,0.0161,0.0268,0.0178
UB 838x292x194,0.8407,0.2924,0.0147,0.0217,0.0178
UB 838x292x176,0.8349,0.2917,0.014,0.0188,0.0178
UB 762x267x197,0.7698,0.268,0.0156,0.0254,0.0165
UB 762x267x173,0.7622,0.2667,0.0143,0.0216,0.0165
UB 762x267x147,0.754,0.2652,0.0128,0.0175,0.0165
UB 762x267x134,0.75,0.2644,0.012,0.0155,0.0165
UB 686x254x170,0.6929,0.2558,0.0145,0.0237,0.0152
UB 686x254x152,0.6875,0.2545,0.0132,0.021,0.0152
UB 686x254x140,0.6835,0.2537,0.0124,0.019,0.0152
UB 686x254x125,0.6779,0.253,0.0117,0.0162,0.0152
UB 610x305x238,0.6358,0.3114,0.0184,0.0314,0.0165
UB 610x305x179,0.6202,0.3071,0.0141,0.0236,0.0165
UB 610x305x149,0.6124,0.3048,0.0118,0.0197,0.0165
UB 610x229x140,0.6172,0.2302,0.0131,0.0221,0.0127
UB 610x229x125,0.6122,0.229,0.0119,0.0196,0.0127
UB 610x229x113,0.6076,0.2282,0.0111,0.0173,0.0127
UB 610x229x101,0.6026,0.2276,0.0105,0.0148,0.0127
UB 610x178x100 #,0.6074,0.1792,0.0113,0.0172,0.0127
UB 610x178x92 #,0.603,0.1788,0.0109,0.015,0.0127
UB 610x178x82 #,0.5986,0.1779,0.01,0.0128,0.0127
UB 533x312x272 #,0.5771,0.3202,0.0211,0.0376,0.0127
UB 533x312x219 #,0.5603,0.3174,0.0183,0.0292,0.0127
UB 533x312x182 #,0.5507,0.3145,0.0152,0.0244,0.0127
UB 533x312x150 #,0.5425,0.312,0.0127,0.0203,0.0127
UB 533x210x138 #,0.5491,0.2139,0.0147,0.0236,0.0127
UB 533x210x122,0.5445,0.2119,0.0127,0.0213,0.0127
UB 533x210x109,0.5395,0.2108,0.0116,0.0188,0.0127
UB 533x210x101,0.5367,0.21,0.0108,0.0174,0.0127
UB 533x210x92,0.5331,0.2093,0.0101,0.0156,0.0127
UB 533x210x82,0.5283,0.2088,0.0096,0.0132,0.0127
UB 533x165x85 #,0.5349,0.1665,0.0103,0.0165,0.0127
UB 533x165x74 #,0.5291,0.1659,0.0097,0.0136,0.0127
UB 533x165x66 #,0.5247,0.1651,0.0089,0.0114,0.0127
UB 457x191x161 #,0.492,0.1994,0.018,0.032,0.0102
UB 457x191x133 #,0.4806,0.1967,0.0153,0.0263,0.0102
UB 457x191x106 #,0.4692,0.194,0.0126,0.0206,0.0102
UB 457x191x98,0.4672,0.1928,0.0114,0.0196,0.0102
UB 457x191x89,0.4634,0.1919,0.0105,0.0177,0.0102
UB 457x191x82,0.46,0.1913,0.0099,0.016,0.0102
UB 457x191x74,0.457,0.1904,0.009,0.0145,0.0102
UB 457x191x67,0.4534,0.1899,0.0085,0.0127,0.0102
UB 457x152x82,0.4658,0.1553,0.0105,0.0189,0.0102
UB 457x152x74,0.462,0.1544,0.0096,0.017,0.0102
UB 457x152x67,0.458,0.1538,0.009,0.015,0.0102
UB 457x152x60,0.4546,0.1529,0.0081,0.0133,0.0102
UB 457x152x52,0.4498,0.1524,0.0076,0.0109,0.0102
UB 406x178x85 #,0.4172,0.1819,0.0109,0.0182,0.0102
UB 406x178x74,0.4128,0.1795,0.0095,0.016,0.0102
UB 406x178x67,0.4094,0.1788,0.0088,0.0143,0.0102
UB 406x178x60,0.4064,0.1779,0.0079,0.0128,0.0102
UB 406x178x54,0.4026,0.1777,0.0077,0.0109,0.0102
UB 406x140x53 #,0.4066,0.1433,0.0079,0.0129,0.0102
UB 406x140x46,0.4032,0.1422,0.0068,0.0112,0.0102
UB 406x140x39,0.398,0.1418,0.0064,0.0086,0.0102
UB 356x171x67,0.3634,0.1732,0.0091,0.0157,0.0102
UB 356x171x57,0.358,0.1722,0.0081,0.013,0.0102
UB 356x171x51,0.355,0.1715,0.0074,0.0115,0.0102
UB 356x171x45,0.3514,0.1711,0.007,0.0097,0.0102
UB 356x127x39,0.3534,0.126,0.0066,0.0107,0.0102
UB 356x127x33,0.349,0.1254,0.006,0.0085,0.0102
UB 305x165x54,0.3104,0.1669,0.0079,0.0137,0.0089
UB 305x165x46,0.3066,0.1657,0.0067,0.0118,0.0089
UB 305x165x40,0.3034,0.165,0.006,0.0102,0.0089
UB 305x127x48,0.311,0.1253,0.009,0.014,0.0089
UB 305x127x42,0.3072,0.1243,0.008,0.0121,0.0089
UB 305x127x37,0.3044,0.1234,0.0071,0.0107,0.0089
UB 305x102x33,0.3127,0.1024,0.0066,0.0108,0.0076
UB 305x102x28,0.3087,0.1018,0.006,0.0088,0.0076
UB 305x102x25,0.3051,0.1016,0.0058,0.007,0.0076
UB 254x146x43,0.2596,0.1473,0.0072,0.0127,0.0076
UB 254x146x37,0.256,0.1464,0.0063,0.0109,0.0076
UB 254x146x31,0.2514,0.1461,0.006,0.0086,0.0076
UB 254x102x28,0.2604,0.1022,0.0063,0.01,0.0076
UB 254x102x25,0.2572,0.1019,0.006,0.0084,0.0076
UB 254x102x22,0.254,0.1016,0.0057,0.0068,0.0076
UB 203x133x30,0.2068,0.1339,0.0064,0.0096,0.0076
UB 203x133x25,0.2032,0.1332,0.0057,0.0078,0.0076
UB 203x102x23,0.2032,0.1018,0.0054,0.0093,0.0076
UB 178x102x19,0.1778,0.1012,0.0048,0.0079,0.0076
UB 152x89x16,0.1524,0.0887,0.0045,0.0077,0.0076
UB 127x76x13,0.127,0.076,0.004,0.0076,0.0076
UC 356x406x634,0.4746,0.424,0.0476,0.077,0.0152
UC 356x406x551,0.4556,0.4185,0.0421,0.0675,0.0152
UC 356x406x467,0.4366,0.4122,0.0358,0.058,0.0152
UC 356x406x393,0.419,0.407,0.0306,0.0492,0.0152
UC 356x406x340,0.4064,0.403,0.0266,0.0429,0.0152
UC 356x406x287,0.3936,0.399,0.0226,0.0365,0.0152
UC 356x406x235,0.381,0.3948,0.0184,0.0302,0.0152
UC 356x368x202,0.3746,0.3747,0.0165,0.027,0.0152
UC 356x368x177,0.3682,0.3726,0.0144,0.0238,0.0152
UC 356x368x153,0.362,0.3705,0.0123,0.0207,0.0152
UC 356x368x129,0.3556,0.3686,0.0104,0.0175,0.0152
UC 305x305x283,0.3653,0.3222,0.0268,0.0441,0.0152
UC 305x305x240,0.3525,0.3184,0.023,0.0377,0.0152
UC 305x305x198,0.3399,0.3145,0.0191,0.0314,0.0152
UC 305x305x158,0.3271,0.3112,0.0158,0.025,0.0152
UC 305x305x137,0.3205,0.3092,0.0138,0.0217,0.0152
UC 305x305x118,0.3145,0.3074,0.012,0.0187,0.0152
UC 305x305x97,0.3079,0.3053,0.0099,0.0154,0.0152
UC 254x254x167,0.2891,0.2652,0.0192,0.0317,0.0127
UC 254x254x132,0.2763,0.2613,0.0153,0.0253,0.0127
UC 254x254x107,0.2667,0.2588,0.0128,0.0205,0.0127
